JobID	ExitCode	State	MaxRSS	Elapsed
27127630_16.extern	0:0	COMPLETED		00:07:08
27127630_17	0:0	COMPLETED		00:29:58
27127630_17.batch	0:0	COMPLETED	1132216K	00:29:58
27127630_17.extern	0:0	COMPLETED		00:29:58
27127630_18	1:0	FAILED		00:03:33
27127630_18.batch	1:0	FAILED	480636K	00:03:33
27127630_18.extern	0:0	COMPLETED		00:03:33
27127630_19	0:0	COMPLETED		00:04:24
27127630_19.batch	0:0	COMPLETED	406840K	00:04:24
27127630_19.extern	0:0	COMPLETED		00:04:24
27127630_20	0:0	COMPLETED		00:35:30
27127630_20.batch	0:0	COMPLETED	1316168K	00:35:30
27127630_20.extern	0:0	COMPLETED		00:35:30
27127630_21	0:0	COMPLETED		00:06:00
27127630_21.batch	0:0	COMPLETED	438808K	00:06:00
27127630_21.extern	0:0	COMPLETED		00:06:00
27127630_22	0:0	COMPLETED		00:15:58
27127630_22.batch	0:0	COMPLETED	1244336K	00:15:58
27127630_22.extern	0:0	COMPLETED		00:15:58
27127630_23	0:0	COMPLETED		00:16:30
27127630_23.batch	0:0	COMPLETED	1438352K	00:16:30
27127630_23.extern	0:0	COMPLETED		00:16:30
27127630_24	0:0	COMPLETED		00:08:14
27127630_24.batch	0:0	COMPLETED	506468K	00:08:14
27127630_24.extern	0:0	COMPLETED		00:08:14
27127630_25	0:0	COMPLETED		00:13:24
27127630_25.batch	0:0	COMPLETED	683404K	00:13:24
27127630_25.extern	0:0	COMPLETED		00:13:24
27127630_26	0:0	COMPLETED		00:14:27
27127630_26.batch	0:0	COMPLETED	1215908K	00:14:27
27127630_26.extern	0:0	COMPLETED		00:14:27
27127630_27	0:0	COMPLETED		00:15:28
27127630_27.batch	0:0	COMPLETED	983660K	00:15:28
27127630_27.extern	0:0	COMPLETED		00:15:28
27127630_28	0:0	COMPLETED		00:36:56
27127630_28.batch	0:0	COMPLETED	1036460K	00:36:56
27127630_28.extern	0:0	COMPLETED		00:36:56
