JobID|ExitCode|State|MaxRSS|Elapsed
25595809_396|0:0|RUNNING||00:56:03
25595809_396.extern|0:0|RUNNING||00:56:03
25595809_1|0:0|RUNNING||00:56:04
25595809_1.extern|0:0|RUNNING||00:56:04
25595809_2|0:0|RUNNING||00:56:04
25595809_2.extern|0:0|RUNNING||00:56:04
25595809_3|0:0|RUNNING||00:56:04
25595809_3.extern|0:0|RUNNING||00:56:04
25595809_4|0:0|RUNNING||00:56:04
25595809_4.extern|0:0|RUNNING||00:56:04
25595809_5|0:0|COMPLETED||00:50:14
25595809_5.batch|0:0|COMPLETED|739284K|00:50:14
25595809_5.extern|0:0|COMPLETED|0|00:50:14
25595809_6|0:0|RUNNING||00:56:04
25595809_6.extern|0:0|RUNNING||00:56:04
25595809_7|0:0|COMPLETED||00:50:54
25595809_7.batch|0:0|COMPLETED|680344K|00:50:54
25595809_7.extern|0:0|COMPLETED|0|00:50:54
25595809_8|0:0|RUNNING||00:56:04
25595809_8.extern|0:0|RUNNING||00:56:04
25595809_9|0:0|RUNNING||00:56:04
25595809_9.extern|0:0|RUNNING||00:56:04
25595809_10|0:0|RUNNING||00:56:04
25595809_10.extern|0:0|RUNNING||00:56:04
25595809_11|0:0|RUNNING||00:56:04
25595809_11.extern|0:0|RUNNING||00:56:04
25595809_12|0:0|RUNNING||00:56:04
25595809_12.extern|0:0|RUNNING||00:56:04
25595809_13|0:0|RUNNING||00:56:04
25595809_13.extern|0:0|RUNNING||00:56:04
25595809_14|0:0|RUNNING||00:56:04
25595809_14.extern|0:0|RUNNING||00:56:04
25595809_15|0:0|RUNNING||00:56:04
25595809_15.extern|0:0|RUNNING||00:56:04
25595809_16|0:0|RUNNING||00:56:04
25595809_16.extern|0:0|RUNNING||00:56:04
25595809_17|0:0|COMPLETED||00:38:15
25595809_17.batch|0:0|COMPLETED|708988K|00:38:15
25595809_17.extern|0:0|COMPLETED|0|00:38:15
25595809_18|0:0|COMPLETED||00:46:42
25595809_18.batch|0:0|COMPLETED|692352K|00:46:42
25595809_18.extern|0:0|COMPLETED|0|00:46:43
25595809_19|0:0|COMPLETED||00:52:47
25595809_19.batch|0:0|COMPLETED|730928K|00:52:47
25595809_19.extern|0:0|COMPLETED|0|00:52:47
25595809_20|0:0|COMPLETED||00:48:38
25595809_20.batch|0:0|COMPLETED|715388K|00:48:38
25595809_20.extern|0:0|COMPLETED|0|00:48:39
25595809_21|0:0|COMPLETED||00:45:58
25595809_21.batch|0:0|COMPLETED|696136K|00:45:58
25595809_21.extern|0:0|COMPLETED|0|00:45:59
25595809_22|0:0|COMPLETED||00:48:52
25595809_22.batch|0:0|COMPLETED|701988K|00:48:52
25595809_22.extern|0:0|COMPLETED|0|00:48:53
25595809_23|0:0|COMPLETED||00:51:16
