JobID|ExitCode|State|MaxRSS|Elapsed
13936577_16.batch|0:0|COMPLETED|386586K|09:21:21
13936577_16.extern|0:0|COMPLETED|742K|09:21:24
13936577_17|0:0|COMPLETED||10:57:12
13936577_17.batch|0:0|COMPLETED|387193K|10:57:12
13936577_17.extern|0:0|COMPLETED|746K|10:57:30
13936577_18|0:0|COMPLETED||11:53:51
13936577_18.batch|0:0|COMPLETED|386244K|11:53:51
13936577_18.extern|0:0|COMPLETED|740K|11:53:54
13936577_19|0:0|COMPLETED||05:41:55
13936577_19.batch|0:0|COMPLETED|384534K|05:41:55
13936577_19.extern|0:0|COMPLETED|742K|05:41:58
13936577_20|0:0|COMPLETED||05:02:00
13936577_20.batch|0:0|COMPLETED|390019K|05:02:00
13936577_20.extern|0:0|COMPLETED|740K|05:02:19
13936577_21|0:0|COMPLETED||07:27:34
13936577_21.batch|0:0|COMPLETED|395627K|07:27:34
13936577_21.extern|0:0|COMPLETED|740K|07:27:37
13936577_22|0:0|COMPLETED||08:08:59
13936577_22.batch|0:0|COMPLETED|395920K|08:08:59
13936577_22.extern|0:0|COMPLETED|740K|08:09:18
13936577_23|0:0|COMPLETED||08:59:58
13936577_23.batch|0:0|COMPLETED|393539K|08:59:58
13936577_23.extern|0:0|COMPLETED|742K|09:00:00
13936577_24|0:0|COMPLETED||05:18:42
13936577_24.batch|0:0|COMPLETED|389893K|05:18:42
13936577_24.extern|0:0|COMPLETED|742K|05:18:45
13936577_25|1:0|FAILED||00:02:29
13936577_25.batch|1:0|FAILED|816K|00:02:29
13936577_25.extern|0:0|COMPLETED|740K|00:02:51
13936577_26|0:0|COMPLETED||06:59:38
13936577_26.batch|0:0|COMPLETED|390531K|06:59:38
13936577_26.extern|0:0|COMPLETED|742K|06:59:41
13936577_27|0:0|COMPLETED||06:22:44
13936577_27.batch|0:0|COMPLETED|389790K|06:22:44
13936577_27.extern|0:0|COMPLETED|740K|06:22:47
13936577_28|0:0|COMPLETED||06:10:06
13936577_28.batch|0:0|COMPLETED|394381K|06:10:06
13936577_28.extern|0:0|COMPLETED|742K|06:10:31
13936577_29|0:0|COMPLETED||06:02:36
13936577_29.batch|0:0|COMPLETED|393318K|06:02:36
13936577_29.extern|0:0|COMPLETED|742K|06:02:39
13936577_30|0:0|COMPLETED||05:26:50
13936577_30.batch|0:0|COMPLETED|385695K|05:26:50
13936577_30.extern|0:0|COMPLETED|742K|05:26:53
13936577_31|0:0|COMPLETED||03:34:14
13936577_31.batch|0:0|COMPLETED|395103K|03:34:14
13936577_31.extern|0:0|COMPLETED|740K|03:34:17
13936577_32|0:0|COMPLETED||05:24:44
13936577_32.batch|0:0|COMPLETED|387222K|05:24:44
13936577_32.extern|0:0|COMPLETED|742K|05:24:49
13936577_33|0:0|COMPLETED||03:23:13
13936577_33.batch|0:0|COMPLETED|394538K|03:23:13
13936577_33.extern|0:0|COMPLETED|744K|03:23:16
13936577_34|0:0|COMPLETED||05:27:28
13936577_34.batch|0:0|COMPLETED|390746K|05:27:28
13936577_34.extern|0:0|COMPLETED|744K|05:27:31
13936577_35|0:0|COMPLETED||05:43:28
13936577_35.batch|0:0|COMPLETED|389302K|05:43:28
13936577_35.extern|0:0|COMPLETED|744K|05:43:37
13936577_36|0:0|COMPLETED||04:38:06
13936577_36.batch|0:0|COMPLETED|390419K|04:38:06
13936577_36.extern|0:0|COMPLETED|738K|04:38:10
13936577_37|0:0|COMPLETED||06:15:51
13936577_37.batch|0:0|COMPLETED|386900K|06:15:51
13936577_37.extern|0:0|COMPLETED|742K|06:17:04
13936577_38|0:0|COMPLETED||03:36:12
13936577_38.batch|0:0|COMPLETED|391225K|03:36:12
13936577_38.extern|0:0|COMPLETED|744K|03:36:15
13936577_39|0:0|COMPLETED||02:52:34
13936577_39.batch|0:0|COMPLETED|389480K|02:52:34
13936577_39.extern|0:0|COMPLETED|742K|02:52:39
13936577_40|0:0|COMPLETED||04:28:49
13936577_40.batch|0:0|COMPLETED|388928K|04:28:49
13936577_40.extern|0:0|COMPLETED|742K|04:29:03
13936577_41|0:0|COMPLETED||05:15:43
13936577_41.batch|0:0|COMPLETED|387887K|05:15:43
13936577_41.extern|0:0|COMPLETED|738K|05:15:45
13936577_42|0:0|COMPLETED||04:11:01
13936577_42.batch|0:0|COMPLETED|386023K|04:11:01
13936577_42.extern|0:0|COMPLETED|742K|04:11:04
13936577_43|0:0|COMPLETED||02:50:29
13936577_43.batch|0:0|COMPLETED|393968K|02:50:29
13936577_43.extern|0:0|COMPLETED|742K|02:50:30
13936577_44|0:0|COMPLETED||03:04:23
13936577_44.batch|0:0|COMPLETED|395047K|03:04:23
13936577_44.extern|0:0|COMPLETED|744K|03:04:23
13936577_45|0:0|COMPLETED||00:04:50
13936577_45.batch|0:0|COMPLETED|810K|00:04:50
13936577_45.extern|0:0|COMPLETED|744K|00:04:54
13936577_46|0:0|COMPLETED||00:23:06
13936577_46.batch|0:0|COMPLETED|381750K|00:23:06
13936577_46.extern|0:0|COMPLETED|738K|00:23:10
13936577_47|0:0|COMPLETED||03:14:00
13936577_47.batch|0:0|COMPLETED|386181K|03:14:00
13936577_47.extern|0:0|COMPLETED|742K|03:14:03
13936577_48|0:0|COMPLETED||02:22:23
13936577_48.batch|0:0|COMPLETED|393209K|02:22:23
13936577_48.extern|0:0|COMPLETED|740K|02:22:26
13936577_49|0:0|COMPLETED||03:18:57
13936577_49.batch|0:0|COMPLETED|388996K|03:18:57
13936577_49.extern|0:0|COMPLETED|740K|03:19:00
13936577_50|0:0|COMPLETED||03:19:23
13936577_50.batch|0:0|COMPLETED|387799K|03:19:23
13936577_50.extern|0:0|COMPLETED|742K|03:19:25
